miRNAS	Especies
miR157a	30
miR160a	30
miR169j	30
miR171c	30
miR172a	30
miR319c	30
miR390a	30
miR393a	30
miR396a	30
miR408	30
miR164b	29
miR167b	29
miR169b	29
miR396b	29
miR397a	29
miR164a	28
miR166f	28
miR172e	28
miR156b	27
miR167d	27
miR399a	27
miR394b	26
miR399d	26
miR156h	25
miR166e	25
miR169a	25
miR399c	25
miR156e	24
miR162b	24
miR166b	24
miR166d	24
miR166g	24
miR167a	24
miR167c	24
miR168b	24
miR169c	24
miR171a	24
miR172d	24
miR156f	23
miR169g	23
miR319b	22
miR399b	22
miR403	22
miR159b	21
miR170	21
miR319a	21
miR395a	21
miR395d	21
miR394a	20
miR395e	20
miR398a	20
miR156a	19
miR160c	19
miR399f	19
miR166a	17
miR169f	17
miR157c	16
miR157d	16
miR162a	16
miR172b	16
miR169l	15
miR172c	15
miR397b	15
miR398b	15
miR159a	14
miR168a	14
miR169h	14
miR156c	13
miR160b	13
miR169m	13
miR393b	13
miR157b	12
miR164c	12
miR169n	12
miR827	12
miR156d	11
miR166c	11
miR169d	11
miR169e	11
miR169i	11
miR171b	11
miR390b	11
miR165b	10
miR159c	9
miR395b	9
miR395f	9
miR399e	9
miR156g	8
miR395c	8
miR398c	8
miR165a	7
miR169k	5
